onDraw Prepare Execute
2.28 0.29 3.49
2.31 0.27 3.45
2.42 0.28 3.38
2.35 0.27 3.53
2.46 0.28 3.25
4.15 0.29 5.12
2.98 0.23 5.31
2.29 0.23 4.62
3.33 0.23 3.24
2.95 0.26 2.42
2.57 0.25 2.89
2.36 0.24 2.87
2.36 0.24 3.12
2.47 0.22 3.59
50.00 0.41 9.10
37.57 0.31 3.07
10.91 0.50 3.36
2.39 0.42 5.45
2.35 0.24 3.58
2.18 0.23 3.41
2.60 0.24 4.27
2.42 0.25 3.50
2.28 0.74 3.22
2.84 3.50 3.96
2.77 1.34 3.73
2.67 0.36 3.83
2.71 0.29 3.88
2.66 0.31 3.81
2.89 0.31 4.40
2.69 0.30 2.65
2.11 0.23 2.34
2.64 2.89 2.57
2.79 0.29 2.80
2.64 0.28 2.81
2.64 0.28 2.40
2.70 0.28 2.84
3.09 0.30 2.53
2.59 0.29 3.65
2.62 0.29 3.09
4.52 0.56 4.91
4.20 0.59 4.68
3.61 0.54 4.59
3.66 0.57 4.99
4.15 0.79 5.00
3.48 0.55 5.20
5.10 0.71 4.89
1.67 0.46 6.02
1.50 0.78 6.33
1.20 0.45 7.11
4.38 1.07 19.44
5.37 1.09 7.77
6.29 0.75 23.27
6.99 1.64 13.92
3.39 0.93 10.89
8.67 0.59 12.90
3.39 0.89 13.42
3.26 0.67 10.05
3.24 0.56 15.78
3.74 0.54 13.88
3.20 0.55 15.26
4.03 1.08 7.79
4.60 1.51 6.89
2.78 0.69 8.11
4.00 0.89 9.59
14.90 1.68 9.62
8.15 1.18 5.09
4.20 0.58 22.51
6.48 0.58 15.27
4.36 0.73 13.20
4.21 0.46 15.48
4.66 0.49 15.18
15.07 0.36 8.06
10.40 0.31 12.68
2.93 0.32 14.92
2.25 0.21 17.53
3.08 0.30 17.06
2.89 0.28 14.58
1.93 0.43 16.44
0.89 0.28 15.68
0.78 0.30 2.41
1.19 0.51 4.95
1.26 0.42 2.50
1.04 0.39 2.71
1.16 2.84 2.65
1.03 0.24 2.31
1.22 0.25 2.90
1.08 0.25 2.31
1.01 0.35 2.35
1.98 0.78 4.95
1.50 0.93 4.87
1.56 0.47 4.69
2.38 0.48 4.63
1.97 0.48 4.63
1.60 0.74 4.67
1.51 0.47 4.88
1.50 0.48 4.53
2.10 0.50 5.41
1.46 0.65 5.12
1.44 0.47 5.25
1.74 0.49 4.57
1.42 0.48 5.51
6.27 1.07 12.33
4.71 1.71 11.43
3.19 1.60 36.35
5.75 0.90 19.07
19.46 1.13 9.37
8.73 1.41 12.12
5.34 0.78 10.66
3.79 0.61 12.89
1.84 1.02 19.60
5.89 1.23 13.23
10.33 1.52 7.35
8.97 0.55 11.72
2.71 0.83 16.94
3.69 0.64 11.75
1.87 0.86 12.67
5.87 0.70 6.77
4.44 0.93 8.21
2.82 0.98 8.77
8.08 0.53 5.13
17.52 2.20 7.86
7.34 0.71 2.39
